ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Cargo,LIVA GRETA,20.80509,55.66075,18.99798,54.67803,2016-12-17T05:11:06Z,158636.85340213584
Tug,VEGA,18.68082,54.39832,18.65687,54.37885,2016-12-14T12:49:02Z,2666.0126080363143
Cargo,BELIZIA,18.65497,54.38212,18.655,54.382,2016-12-13T13:33:02Z,13.499179627384208
Cargo,GREEN MALOY,18.98531,54.70317,18.97043,54.67597,2016-12-13T23:41:02Z,3175.6557005529294
Passenger,M/F WAWEL,18.87984,54.79806,18.93382,54.79173,2016-12-19T08:39:02Z,3535.1737934812595
Tug,GRANIT,18.67478,54.35593,18.67468,54.35615,2016-12-19T14:21:02Z,25.334891936271273
Cargo,VICTORIA,18.65932,54.37488,18.65989,54.37491,2016-12-16T09:07:02Z,37.11010543772997
Cargo,KYMOPOLIA,18.89543,54.42725,18.846,54.4211,2016-12-16T12:57:02Z,3273.6434001977586
Cargo,MOL QUINTET,11.66162,57.60555,18.99627,54.46572,2016-12-15T18:45:09Z,574153.3072888145
Tanker,JS CHUKAR,18.99357,54.79148,18.99913,54.46613,2016-12-15T04:13:01Z,36219.568417594346
Tug,SEVEN OSPREY,18.65822,54.38034,18.65623,54.38026,2016-12-15T15:05:02Z,129.32416588471364
Tug,SYLUR,18.67228,54.35753,18.67241,54.3572,2016-12-16T23:57:02Z,37.69093888892593
Navigation,BY NP,18.7012,54.46468,18.70134,54.46484,2016-12-14T10:09:01Z,19.982029306296788
Navigation,P9 HYDRO METEO,18.77667,54.41118,18.77667,54.41118,2016-12-20T11:11:02Z,0
Unspecified,BY ZS,18.96163,54.44321,18.96178,54.44296,2016-12-17T23:59:02Z,29.475185253568622
Navigation,BY HEL,18.9449,54.57765,18.89077,54.60226,2016-12-18T15:57:02Z,4437.958590097426
Navigation,BY GD,18.66366,54.53455,18.66424,54.53282,2016-12-14T16:07:02Z,196.19258814468054
Pleasure,NATALIA B,18.70774,54.3576,18.70782,54.35769,2016-12-14T15:41:02Z,11.283003117119852
Tug,SZTORM,18.79041,54.58138,18.77289,54.60034,2016-12-17T16:25:02Z,2394.0942356849073
Pleasure,NOROY,18.78433,54.34949,18.78434,54.34937,2016-12-16T13:15:02Z,13.374086096041376
Tanker,NISSOS SCHINOUSSA,18.99717,54.51771,18.99896,54.464,2016-12-20T09:43:01Z,5980.089942333688
Tug,STRAZAK 6,18.69473,54.39935,18.72211,54.40376,2016-12-14T10:09:01Z,1840.8672197339615
Pleasure,PIORUN,18.66776,54.38841,18.66348,54.3731,2016-12-13T13:35:02Z,1726.7423174344956
Tug,KOZIOROZEC-O-01,18.64973,54.36619,18.64994,54.36521,2016-12-16T08:45:02Z,109.93999017395407
Cargo,AGNETHE ARCTICA,18.66545,54.36469,18.665,54.36948,2016-12-18T10:35:02Z,534.0184141564795
Tug,ORP KORMORAN,18.67815,54.50742,18.69812,54.4961,2016-12-13T11:31:02Z,1803.96944924886
Pleasure,EMPATIA POLSKA,18.67601,54.697,18.67601,54.697,2016-12-13T15:33:01Z,0
Tug,HERKULES,18.73049,54.40102,18.75652,54.4061,2016-12-14T18:23:02Z,1778.9177738134051
Pleasure,ATHENA,18.65778,54.36329,18.65776,54.36343,2016-12-17T15:55:02Z,15.638621134815079
Passenger,TOLL,18.66378,54.36518,18.66392,54.36521,2016-12-13T23:41:02Z,9.674598557578044
Cargo,FINNKRAFT,18.89155,54.79053,18.99983,54.6725,2016-12-15T16:49:02Z,14868.570096939275
Fishing,WLA-196,18.5135,54.79955,18.43903,54.79899,2016-12-17T16:21:07Z,4779.094950298919
Tug,AKUL,18.72794,54.40267,18.76895,54.40788,2016-12-16T11:01:02Z,2719.7315365161007
Fishing,KAPITAN KRAVCHENKO,18.66191,54.37406,18.66181,54.37393,2016-12-14T00:41:01Z,15.857839011752745
Unspecified,VTS BALTIYSK,19.88548,54.62998,19.88548,54.62998,2016-12-20T08:01:02Z,0
Unspecified,VTS 2734488,19.938110000000002,54.89622,19.938110000000002,54.89622,2016-12-20T11:11:02Z,0
Cargo,TOLLUND,18.99543,54.78199,19.819,54.66673,2016-12-17T19:17:01Z,54477.95419589905
